state,Area name,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher
AL,Autauga ,"4,204","12,119","10,552","10,291",11.3,32.6,28.4,27.7
AL,Baldwin ,"14,310","40,579","46,025","46,075",9.7,27.6,31.3,31.3
AL,Barbour ,"4,901","6,486","4,566","2,220",27,35.7,25.1,12.2
AL,Bibb ,"2,650","7,471","3,846","1,813",16.8,47.3,24.4,11.5
AL,Blount ,"7,861","13,489","13,267","5,010",19.8,34,33.5,12.6
AL,Bullock ,"1,760","2,817","1,582",945,24.8,39.7,22.3,13.3
AL,Butler ,"2,141","6,091","3,421","2,235",15.4,43.9,24.6,16.1
AL,Calhoun ,"12,620","25,653","26,643","14,219",15.9,32.4,33.7,18
AL,Chambers ,"4,383","9,060","7,003","3,118",18.6,38.4,29.7,13.2
AL,Cherokee ,"3,692","7,157","5,417","2,407",19.8,38.3,29,12.9
AL,Chilton ,"5,302","13,125","7,147","4,219",17.8,44.1,24,14.2
AL,Choctaw ,"1,754","3,606","2,851","1,225",18.6,38.2,30.2,13
AL,Clarke ,"3,175","7,372","4,205","2,118",18.8,43.7,24.9,12.6
AL,Clay ,"2,275","3,366","2,700",944,24.5,36.3,29.1,10.2
AL,Cleburne ,"2,364","4,135","2,518","1,428",22.6,39.6,24.1,13.7
AL,Coffee ,"4,833","9,723","12,181","8,175",13.8,27.9,34.9,23.4
AL,Colbert ,"6,016","13,927","11,459","7,236",15.6,36,29.7,18.7
AL,Conecuh ,"1,703","4,315","1,881",949,19.2,48.8,21.3,10.7
AL,Coosa ,"1,675","3,178","2,424",953,20.4,38.6,29.5,11.6
AL,Covington ,"4,530","9,368","8,588","3,952",17.1,35.4,32.5,14.9
AL,Crenshaw ,"2,091","3,753","2,326","1,505",21.6,38.8,24,15.6
AL,Cullman ,"10,405","20,382","18,559","7,866",18.2,35.6,32.4,13.7
AL,Dale ,"4,732","10,924","12,036","5,690",14.2,32.7,36.1,17
AL,Dallas ,"5,135","9,368","8,076","4,021",19.3,35.2,30.4,15.1
AL,DeKalb ,"12,394","15,956","13,441","6,085",25.9,33.3,28.1,12.7
AL,Elmore ,"7,594","18,304","16,197","13,664",13.6,32.8,29,24.5
AL,Escambia ,"4,792","11,546","6,340","3,287",18.5,44.5,24.4,12.7
AL,Etowah ,"11,147","23,665","24,416","12,767",15.5,32.9,33.9,17.7
AL,Fayette ,"2,060","4,868","3,273","1,516",17.6,41.5,27.9,12.9
AL,Franklin ,"4,835","7,666","5,632","2,679",23.2,36.8,27.1,12.9
AL,Geneva ,"3,891","6,924","5,720","2,063",20.9,37.2,30.8,11.1
AL,Greene ,"1,406","2,149","1,689",589,24.1,36.8,29,10.1
AL,Hale ,"1,647","4,292","2,711","1,421",16.4,42.6,26.9,14.1
AL,Henry ,"2,412","4,081","3,487","2,187",19.8,33.5,28.7,18
AL,Houston ,"10,261","22,680","23,681","15,076",14.3,31.6,33,21
AL,Jackson ,"6,526","15,181","10,238","5,280",17.5,40.8,27.5,14.2
AL,Jefferson ,"46,025","120,037","137,208","145,462",10.3,26.8,30.6,32.4
AL,Lamar ,"1,741","3,950","2,967","1,235",17.6,39.9,30,12.5
AL,Lauderdale ,"7,979","22,812","17,453","15,185",12.6,36,27.5,23.9
AL,Lawrence ,"4,919","9,710","6,028","2,738",21,41.5,25.8,11.7
AL,Lee ,"9,049","22,855","30,707","32,377",9.5,24.1,32.3,34.1
AL,Limestone ,"10,123","19,463","18,341","16,367",15.7,30.3,28.5,25.5
AL,Lowndes ,"1,588","2,722","1,750",996,22.5,38.6,24.8,14.1
AL,Macon ,"2,215","3,658","3,752","2,510",18.3,30.1,30.9,20.7
AL,Madison ,"21,617","50,768","69,750","101,650",8.9,20.8,28.6,41.7
AL,Marengo ,"2,192","5,378","3,869","2,084",16.2,39.8,28.6,15.4
AL,Marion ,"4,343","7,435","6,770","2,806",20.3,34.8,31.7,13.1
AL,Marshall ,"12,151","19,818","19,442","12,233",19.1,31.1,30.5,19.2
AL,Mobile ,"38,247","92,986","82,763","63,703",13.8,33.5,29.8,22.9
AL,Monroe ,"2,409","6,805","3,464","2,078",16.3,46.1,23.5,14.1
AL,Montgomery ,"21,646","38,289","41,976","48,131",14.4,25.5,28,32.1
AL,Morgan ,"13,706","24,350","26,356","17,849",16.7,29.6,32,21.7
AL,Perry ,"1,275","2,293","1,334",913,21.9,39.4,22.9,15.7
AL,Pickens ,"2,829","5,352","4,425","1,959",19.4,36.7,30.4,13.5
AL,Pike ,"3,660","6,405","4,657","4,536",19,33.3,24.2,23.6
AL,Randolph ,"3,340","5,719","4,329","2,350",21.2,36.3,27.5,14.9
AL,Russell ,"6,495","12,583","13,434","6,438",16.7,32.3,34.5,16.5
AL,St. Clair ,"9,255","21,865","19,587","9,991",15.2,36,32.3,16.5
AL,Shelby ,"11,258","29,106","42,634","60,424",7.8,20.3,29.7,42.1
AL,Sumter ,"1,238","2,969","1,936","1,715",15.8,37.8,24.6,21.8
AL,Talladega ,"10,671","19,607","17,827","8,017",19,34.9,31.8,14.3
AL,Tallapoosa ,"5,581","9,402","8,355","5,244",19.5,32.9,29.2,18.3
AL,Tuscaloosa ,"14,748","38,097","36,040","38,669",11.6,29.9,28.3,30.3
AL,Walker ,"8,606","16,685","14,479","5,204",19.1,37.1,32.2,11.6
AL,Washington ,"2,243","4,954","2,996","1,276",19.6,43.2,26.1,11.1
AL,Wilcox ,"1,662","2,903","1,738",901,23.1,40.3,24.1,12.5
AL,Winston ,"3,755","6,420","4,683","2,326",21.9,37.4,27.3,13.5
AK,Aleutian Islands,,,,,,,,
AK,Aleutians East Borough,358,"1,061",882,336,13.6,40.2,33.4,12.7
AK,Aleutians West Census Area,459,"1,664","1,309",675,11.2,40.5,31.9,16.4
AK,Anchorage Municipality,"11,867","45,753","66,655","67,719",6.2,23.8,34.7,35.3
AK,Bethel Census Area,"1,798","4,371","2,314","1,194",18.6,45.2,23.9,12.3
AK,Bristol Bay Borough,36,225,240,144,5.6,34.9,37.2,22.3
AK,Denali Borough,25,418,461,697,1.6,26.1,28.8,43.5
AK,Dillingham Census Area,370,"1,138",835,559,12.7,39.2,28.8,19.3
AK,Fairbanks North Star Borough,"3,381","13,785","24,520","20,152",5.5,22.3,39.7,32.6
AK,Haines Borough,57,561,553,701,3,30,29.5,37.4
AK,Hoonah-Angoon Census Area,143,598,546,393,8.5,35.6,32.5,23.4
AK,Juneau City and Borough,878,"4,584","8,138","8,879",3.9,20.4,36.2,39.5
AK,Kenai Peninsula Borough,"2,902","12,989","15,008","9,378",7.2,32.2,37.3,23.3
AK,Ketchikan Gateway Borough,701,"2,865","3,671","2,343",7.3,29.9,38.3,24.5
